   2,   0,   1,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0
   0,  28,   0,   4,   0,   0,   0,   0,   0,   0,   0,   0,   0,   2
   0,   0,  10,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
   0,   2,   0,  12,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
   0,   0,   0,   0,  31,   0,   0,   0,   0,   2,   0,   0,   0,   0
   0,   0,   0,   0,   0,   2,   0,   0,   0,   0,   0,   0,   0,   0
   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0
   0,   0,   0,   0,   6,   0,   0,  21,   0,   0,   3,   4,   0,   0
   0,   0,   1,   0,   0,   0,   0,   2,   0,   1,   5,   0,   0,   0
   0,   0,   0,   0,   0,   0,   0,   0,   0,  26,   7,   0,   0,   0
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  28,   5,   0,   0
   0,   1,   0,   1,   0,   0,   0,   1,   0,   0,   7,  24,   0,   0
   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,   0,   0,   2,   0
   0,   9,   0,   0,   0,   0,   0,   0,   0,   0,   0,   2,   0,  22
