   4,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
   0,  30,   0,   1,   0,   0,   0,   0,   0,   0,   0,   1,   0,   2
   0,   0,   6,   0,   1,   0,   0,   0,   0,   3,   1,   0,   0,   0
   0,   4,   0,   9,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1
   0,   0,   0,   0,  29,   0,   0,   0,   0,   4,   1,   0,   0,   0
   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0
   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0
   0,   2,   0,   0,   5,   0,   0,  20,   0,   3,   0,   3,   0,   0
   0,   1,   1,   0,   0,   0,   0,   2,   0,   2,   4,   0,   0,   0
   0,   0,   0,   0,   4,   0,   0,   0,   0,  29,   1,   0,   0,   0
   0,   0,   0,   0,   0,   0,   0,   4,   0,   0,  22,   8,   0,   0
   0,   0,   0,   0,   0,   0,   0,   9,   0,   0,   4,  21,   0,   0
   0,   0,   1,   0,   1,   0,   0,   0,   0,   0,   0,   0,   3,   0
   0,   1,   0,   2,   0,   0,   0,   0,   0,   0,   0,   0,   0,  31
