2.620518290685072076e+06,3.723504812669166829e+06,2.795007395375522785e+06,3.306708641102042049e+06,2.554925762266707607e+06,3.398710652482017875e+06,2.950317164305543061e+06,3.395080233216234948e+06,2.715902741220078431e+06,3.794564931155052036e+06
3.723504812669166829e+06,3.950695321836894378e+06,3.700117496135220863e+06,4.039502251428689808e+06,3.450540253161918372e+06,4.212499546461616643e+06,3.685180811672434676e+06,4.230517154655927792e+06,3.489423325221898500e+06,4.135060420373201370e+06
2.795007395375522785e+06,3.700117496135220863e+06,2.447705929898309056e+06,2.939413921217821538e+06,2.423617501425197814e+06,2.967128027918254025e+06,2.685782823690571822e+06,3.200287196885725949e+06,2.813188163222054485e+06,3.634987980390286073e+06
3.306708641102042049e+06,4.039502251428689808e+06,2.939413921217821538e+06,3.116488569873347878e+06,2.889657860652900301e+06,3.262789968692823779e+06,3.028913254223526455e+06,3.546329627359920647e+06,3.203145967468180694e+06,3.897755799555107020e+06
2.554925762266707607e+06,3.450540253161918372e+06,2.423617501425197814e+06,2.889657860652900301e+06,2.180393044488009065e+06,2.954997899205581285e+06,2.553803793401823845e+06,3.041227130552460440e+06,2.543467476816687733e+06,3.441342011649828404e+06
3.398710652482017875e+06,4.212499546461616643e+06,2.967128027918254025e+06,3.262789968692823779e+06,2.954997899205581285e+06,3.231128075496002100e+06,3.100426332122091204e+06,3.610680958556557074e+06,3.386605782356041484e+06,4.075535423557830974e+06
2.950317164305543061e+06,3.685180811672434676e+06,2.685782823690571822e+06,3.028913254223526455e+06,2.553803793401823845e+06,3.100426332122091204e+06,2.630247689338848926e+06,3.341502406021348201e+06,2.873805118032976519e+06,3.648318536298630759e+06
3.395080233216234948e+06,4.230517154655927792e+06,3.200287196885725949e+06,3.546329627359920647e+06,3.041227130552460440e+06,3.610680958556557074e+06,3.341502406021348201e+06,3.441098472038056701e+06,3.386223276499128900e+06,4.139470859097878914e+06
2.715902741220078431e+06,3.489423325221898500e+06,2.813188163222054485e+06,3.203145967468180694e+06,2.543467476816687733e+06,3.386605782356041484e+06,2.873805118032976519e+06,3.386223276499128900e+06,2.440639521413904149e+06,3.541887455095048994e+06
3.794564931155052036e+06,4.135060420373201370e+06,3.634987980390286073e+06,3.897755799555107020e+06,3.441342011649828404e+06,4.075535423557830974e+06,3.648318536298630759e+06,4.139470859097878914e+06,3.541887455095048994e+06,4.021103172557941638e+06
